月描述,乘用销售区域,乘用销售分部,客户编码,客户名称,产品大类,花纹,轮辋（乘用）,车型,规格,品牌（中文）,销售订单数量
2020-12,东北区,吉林,CKH0431004,吉林省益佰经贸有限公司,101半钢外胎,GitiComfort 228,15,轿车,195/65R15,佳通,2
2020-12,东北区,吉林,CKH0431004,吉林省益佰经贸有限公司,101半钢外胎,GitiComfort F50,17,SUV,225/65R17,佳通,65
2020-12,东北区,吉林,CKH0431004,吉林省益佰经贸有限公司,101半钢外胎,GitiComfort T20,14,轿车,175/65R14,佳通,1
2020-12,东北区,吉林,CKH0431004,吉林省益佰经贸有限公司,101半钢外胎,GitiComfort T20,14,轿车,185/70R14,佳通,1
2020-12,东北区,吉林,CKH0431005,绿园区车之翼汽车用品经销处,101半钢外胎,GitiComfort 228,16,轿车,205/55R16,佳通,500
2020-12,东北区,吉林,CKH0431005,绿园区车之翼汽车用品经销处,101半钢外胎,GitiComfort Winter20,14,轿车,175/70R14,佳通,200
2020-12,东北区,吉林,CKH0431005,绿园区车之翼汽车用品经销处,101半钢外胎,GitiComfort Winter50SUV,17,SUV,215/60R17,佳通,4
2020-12,东北区,吉林,CKH0431005,绿园区车之翼汽车用品经销处,101半钢外胎,GitiTaxi 900,13,轿车,165/70R13,佳通,630
2020-12,东北区,吉林,CKH0431005,绿园区车之翼汽车用品经销处,101半钢外胎,GitiTaxi 900,14,轿车,175/70R14,佳通,500
2020-12,东北区,吉林,CKH0431005,绿园区车之翼汽车用品经销处,101半钢外胎,GitiTaxi 900,14,轿车,185/60R14,佳通,735
2020-12,东北区,吉林,CKH0431005,绿园区车之翼汽车用品经销处,101半钢外胎,GitiTaxi 900,15,轿车,185/65R15,佳通,300
2020-12,东北区,吉林,CKH0431005,绿园区车之翼汽车用品经销处,101半钢外胎,GitiTaxi 900,15,轿车,195/55R15,佳通,100
2020-12,东北区,吉林,CKH0431005,绿园区车之翼汽车用品经销处,101半钢外胎,GitiTaxi 900,15,轿车,195/60R15,佳通,200
2020-12,东北区,吉林,CKH0431005,绿园区车之翼汽车用品经销处,101半钢外胎,GitiTaxi 900,15,轿车,195/65R15,佳通,300
2020-12,东北区,吉林,CKH0431005,绿园区车之翼汽车用品经销处,101半钢外胎,GitiTaxi 900,16,轿车,205/55R16,佳通,300
2020-12,东北区,吉林,CKH0431005,绿园区车之翼汽车用品经销处,101半钢外胎,GitiWinterVan 650,15,小商用,185R15C LT,佳通,41
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,Giti4×4 AT100,16,4×4,LT235/70R16,佳通,7
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort 225,17,轿车,225/60R17,佳通,4
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort 228,16,轿车,195/55R16,佳通,4
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort 228,16,轿车,205/55R16,佳通,8
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort 228v1,17,轿车,205/50R17,佳通,4
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort 228v1,17,轿车,225/55R17,佳通,2
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort F22,16,轿车,205/55R16,佳通,12
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort F22,16,轿车,205/60R16,佳通,4
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort F22,17,轿车,215/50R17,佳通,8
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort F50,17,SUV,215/60R17,佳通,8
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort F50,17,SUV,225/60R17,佳通,4
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort F50,17,SUV,225/65R17,佳通,10
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort F50,18,SUV,225/55R18,佳通,6
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort T20,14,轿车,185/70R14,佳通,21
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort T20,15,轿车,185/60R15,佳通,5
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiComfort Winter20,17,轿车,205/50R17,佳通,220
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiControl Winter10,18,轿车,215/50R18,佳通,80
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiSynergy E1,14,轿车,185/70R14,佳通,12
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiSynergy E1,15,轿车,195/55R15,佳通,13
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiSynergy E1,15,轿车,195/65R15,佳通,16
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiSynergy E1,16,轿车,205/55R16,佳通,16
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiSynergy E1,16,轿车,205/60R16,佳通,8
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiTaxi 900,13,轿车,165/70R13,佳通,21
2020-12,东北区,吉林,CKH0431024,长春荣亿达商贸有限公司,101半钢外胎,GitiVan 600,15,4×4,LT215/75R15,佳通,4
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiComfort 228v1,16,轿车,205/65R16,佳通,4
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiComfort 228v1,16,轿车,215/60R16,佳通,12
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiComfort 228v1,16,轿车,225/55ZR16,佳通,8
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiComfort 228v1,17,轿车,215/50R17,佳通,16
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiComfort 228v1,17,轿车,225/55R17,佳通,16
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiComfort 228v1,17,轿车,235/45ZR17,佳通,4
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiComfort 228v1,18,轿车,245/45R18,佳通,4
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiComfort F50,17,SUV,225/65R17,佳通,15
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiComfort F50,18,SUV,215/55R18,佳通,6
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiComfort F50,18,SUV,225/55R18,佳通,12
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiComfort F50,18,SUV,225/60R18,佳通,6
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiComfort F50,18,SUV,235/55R18,佳通,12
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiControl Winter10,18,轿车,225/50R18,佳通,4
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiSynergy E1,15,轿车,185/60R15,佳通,4
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiSynergy E1,15,轿车,185/65R15,佳通,4
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiSynergy E1,15,轿车,195/55R15,佳通,8
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiSynergy E1,15,轿车,195/60R15,佳通,4
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiSynergy E1,15,轿车,195/65R15,佳通,4
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiSynergy E1,16,轿车,205/55R16,佳通,12
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiTaxi 900,13,轿车,165/70R13,佳通,4
2020-12,东北区,吉林,CKH0432351,永吉县口前镇百路达汽车轮胎商店,101半钢外胎,GitiWinterControl SUV890+,19,SUV,255/45R19,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,Giti4×4 HT152,19,4×4,245/55R19,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,Giti4×4 Winter70,17,4×4,265/65R17,佳通,2
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,Giti4×4 Winter70,18,4×4,255/60R18,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,Giti4×4 Winter70,18,SUV,285/60R18,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort 228,16,轿车,205/55R16,佳通,2
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort 228v1,16,轿车,215/60R16,佳通,28
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort 228v1,16,轿车,225/55ZR16,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort 228v1,17,轿车,215/50R17,佳通,20
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort 228v1,17,轿车,225/55R17,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort F50,17,SUV,225/65R17,佳通,10
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort F50,18,SUV,235/60R18,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort F50,19,SUV,235/50R19,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort T20,13,轿车,175/60R13,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiComfort Winter50SUV,17,SUV,225/65R17,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiControl 288,17,轿车,225/55R17,佳通,4
2020-12,东北区,吉林,CKH0433076,延边谊佳商贸有限公司,101半钢外胎,GitiControl Winter10,19,轿车,245/45R19,佳通,2
